timestamp,name,enduse,real[kWh],reactive[kVArh]
2020-01-01 05:00:00 PST,house:8,WATERHEATER,0.0960452,0
2020-01-01 05:00:00 PST,house:8,CLOTHESWASHER,0.00224011,0.00108494
2020-01-01 05:00:00 PST,house:8,DRYER,0.012738,0.00181506
2020-01-01 05:00:00 PST,house:5,HVAC,0,0
2020-01-01 05:00:00 PST,house:5,LIGHTS,0.105734,0.0264995
2020-01-01 05:00:00 PST,house:5,PLUGS,0.129231,0.0625893
2020-01-01 05:00:00 PST,house:5,DISHWASHER,0.00231975,0.000471045
2020-01-01 05:00:00 PST,house:5,MICROWAVE,0.00415739,0.00424138
2020-01-01 05:00:00 PST,house:5,FREEZER,0.0244208,0.0118275
2020-01-01 05:00:00 PST,house:5,REFRIGERATOR,0.089876,0.0435289
2020-01-01 05:00:00 PST,house:5,RANGE,0.00593912,0.00368074
2020-01-01 05:00:00 PST,house:5,WATERHEATER,0.0960452,0
2020-01-01 05:00:00 PST,house:5,CLOTHESWASHER,0.00224011,0.00108494
2020-01-01 05:00:00 PST,house:5,DRYER,0.012738,0.00181506
2020-01-01 05:00:00 PST,house:2,HVAC,0,0
2020-01-01 05:00:00 PST,house:2,LIGHTS,0.105734,0.0264995
2020-01-01 05:00:00 PST,house:2,PLUGS,0.129231,0.0625893
2020-01-01 05:00:00 PST,house:2,DISHWASHER,0.00231975,0.000471045
2020-01-01 05:00:00 PST,house:2,MICROWAVE,0.00415739,0.00424138
2020-01-01 05:00:00 PST,house:2,FREEZER,0.0244208,0.0118275
2020-01-01 05:00:00 PST,house:2,REFRIGERATOR,0.089876,0.0435289
2020-01-01 05:00:00 PST,house:2,RANGE,0.00593912,0.00368074
2020-01-01 05:00:00 PST,house:2,WATERHEATER,0.0960452,0
2020-01-01 05:00:00 PST,house:2,CLOTHESWASHER,0.00224011,0.00108494
2020-01-01 05:00:00 PST,house:2,DRYER,0.012738,0.00181506
2020-01-01 06:00:00 PST,house:8,HVAC,0,0
2020-01-01 06:00:00 PST,house:8,LIGHTS,0.146014,0.0365946
2020-01-01 06:00:00 PST,house:8,PLUGS,0.178462,0.0864329
2020-01-01 06:00:00 PST,house:8,DISHWASHER,0.00470219,0.000954821
2020-01-01 06:00:00 PST,house:8,MICROWAVE,0.00831477,0.00848277
2020-01-01 06:00:00 PST,house:8,FREEZER,0.024072,0.0116586
2020-01-01 06:00:00 PST,house:8,REFRIGERATOR,0.0942149,0.0456303
2020-01-01 06:00:00 PST,house:8,RANGE,0.0118782,0.00736148
2020-01-01 06:00:00 PST,house:8,WATERHEATER,0.20904,0
2020-01-01 06:00:00 PST,house:8,CLOTHESWASHER,0.00347217,0.00168165
2020-01-01 06:00:00 PST,house:8,DRYER,0.0337833,0.00481386
2020-01-01 06:00:00 PST,house:5,HVAC,0,0
2020-01-01 06:00:00 PST,house:5,LIGHTS,0.146014,0.0365946
2020-01-01 06:00:00 PST,house:5,PLUGS,0.178462,0.0864329
2020-01-01 06:00:00 PST,house:5,DISHWASHER,0.00470219,0.000954821
2020-01-01 06:00:00 PST,house:5,MICROWAVE,0.00831477,0.00848277
2020-01-01 06:00:00 PST,house:5,FREEZER,0.024072,0.0116586
2020-01-01 06:00:00 PST,house:5,REFRIGERATOR,0.0942149,0.0456303
2020-01-01 06:00:00 PST,house:5,RANGE,0.0118782,0.00736148
2020-01-01 06:00:00 PST,house:5,WATERHEATER,0.20904,0
2020-01-01 06:00:00 PST,house:5,CLOTHESWASHER,0.00347217,0.00168165
2020-01-01 06:00:00 PST,house:5,DRYER,0.0337833,0.00481386
2020-01-01 06:00:00 PST,house:2,HVAC,0,0
2020-01-01 06:00:00 PST,house:2,LIGHTS,0.146014,0.0365946
2020-01-01 06:00:00 PST,house:2,PLUGS,0.178462,0.0864329
2020-01-01 06:00:00 PST,house:2,DISHWASHER,0.00470219,0.000954821
2020-01-01 06:00:00 PST,house:2,MICROWAVE,0.00831477,0.00848277
2020-01-01 06:00:00 PST,house:2,FREEZER,0.024072,0.0116586
2020-01-01 06:00:00 PST,house:2,REFRIGERATOR,0.0942149,0.0456303
2020-01-01 06:00:00 PST,house:2,RANGE,0.0118782,0.00736148
2020-01-01 06:00:00 PST,house:2,WATERHEATER,0.20904,0
2020-01-01 06:00:00 PST,house:2,CLOTHESWASHER,0.00347217,0.00168165
2020-01-01 06:00:00 PST,house:2,DRYER,0.0337833,0.00481386
2020-01-01 07:00:00 PST,house:8,HVAC,0,0
2020-01-01 07:00:00 PST,house:8,LIGHTS,0.173706,0.0435349
2020-01-01 07:00:00 PST,house:8,PLUGS,0.212308,0.102825
2020-01-01 07:00:00 PST,house:8,DISHWASHER,0.00808777,0.00164229
2020-01-01 07:00:00 PST,house:8,MICROWAVE,0.0129918,0.0132543
2020-01-01 07:00:00 PST,house:8,FREEZER,0.024072,0.0116586
2020-01-01 07:00:00 PST,house:8,REFRIGERATOR,0.0991736,0.0480319
2020-01-01 07:00:00 PST,house:8,RANGE,0.0185598,0.0115023
2020-01-01 07:00:00 PST,house:8,WATERHEATER,0.338983,0
2020-01-01 07:00:00 PST,house:8,CLOTHESWASHER,0.00660833,0.00320056
2020-01-01 07:00:00 PST,house:8,DRYER,0.057044,0.00812832
2020-01-01 07:00:00 PST,house:5,HVAC,0,0
2020-01-01 07:00:00 PST,house:5,LIGHTS,0.173706,0.0435349
2020-01-01 07:00:00 PST,house:5,PLUGS,0.212308,0.102825
2020-01-01 07:00:00 PST,house:5,DISHWASHER,0.00808777,0.00164229
